x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
-inf,-12.32327841,-inf,-12.91336298,-inf,-12.93533535,-inf,-12.87563357,-inf,-12.82281649,-inf,-12.85054111,-inf,-12.92713602,-inf,-12.93939603,
1.484550065,-11.66588601,1.484550065,-12.16942266,1.484550065,-12.1365859,1.484550065,-12.15371651,1.484550065,-12.09419137,1.484550065,-12.20597056,1.484550065,-12.18672845,1.484550065,-12.24375703,
1.785580061,-11.69459634,1.785580061,-12.26433959,1.785580061,-12.22810755,1.785580061,-12.23930439,1.785580061,-12.23966329,1.785580061,-12.30428798,1.785580061,-12.23722765,1.785580061,-12.20442273,
1.96167132,-12.11177168,1.96167132,-12.39972953,1.96167132,-12.3881916,1.96167132,-12.3493202,1.96167132,-12.33333437,1.96167132,-12.38566159,1.96167132,-12.35809538,1.96167132,-12.35776386,
2.086610056,-12.22831336,2.086610056,-12.49640175,2.086610056,-12.39380596,2.086610056,-12.37573725,2.086610056,-12.36939656,2.086610056,-12.44188591,2.086610056,-12.45399569,2.086610056,-12.42259189,
2.183520069,-12.26694933,2.183520069,-12.45516153,2.183520069,-12.37262335,2.183520069,-12.47245521,2.183520069,-12.34894783,2.183520069,-12.45514054,2.183520069,-12.43275788,2.183520069,-12.43388171,
2.262701315,-12.35528686,2.262701315,-12.47246964,2.262701315,-12.43315033,2.262701315,-12.56813915,2.262701315,-12.40116703,2.262701315,-12.48324138,2.262701315,-12.44898319,2.262701315,-12.4873662,
2.329648105,-12.3883708,2.329648105,-12.43918701,2.329648105,-12.51912584,2.329648105,-12.5749009,2.329648105,-12.44773138,2.329648105,-12.52405161,2.329648105,-12.48572489,2.329648105,-12.5471756,
2.387640052,-12.34044094,2.387640052,-12.46942709,2.387640052,-12.54796349,2.387640052,-12.60592549,2.387640052,-12.41375378,2.387640052,-12.48372526,2.387640052,-12.52274752,2.387640052,-12.51182551,
2.438792574,-12.35046101,2.438792574,-12.53693058,2.438792574,-12.54905574,2.438792574,-12.65888556,2.438792574,-12.50351478,2.438792574,-12.46981343,2.438792574,-12.48504883,2.438792574,-12.49831609,
2.484550065,-12.38298239,2.484550065,-12.55906167,2.484550065,-12.47271273,2.484550065,-12.65830565,2.484550065,-12.50844203,2.484550065,-12.46743281,2.484550065,-12.46630229,2.484550065,-12.48398205,
2.52594275,-12.34998828,2.52594275,-12.50974276,2.52594275,-12.48810687,2.52594275,-12.62018649,2.52594275,-12.44853173,2.52594275,-12.53375299,2.52594275,-12.4883025,2.52594275,-12.49682686,
2.563731311,-12.43230574,2.563731311,-12.52174305,2.563731311,-12.51545489,2.563731311,-12.6509248,2.563731311,-12.44842403,2.563731311,-12.50435934,2.563731311,-12.55006535,2.563731311,-12.52274556,
